date,treatment,isPartial
2012-01-01,84,False
2012-01-08,89,False
2012-01-15,89,False
2012-01-22,88,False
2012-01-29,89,False
2012-02-05,91,False
2012-02-12,87,False
2012-02-19,90,False
2012-02-26,93,False
2012-03-04,94,False
2012-03-11,94,False
2012-03-18,96,False
2012-03-25,96,False
2012-04-01,96,False
2012-04-08,95,False
2012-04-15,98,False
2012-04-22,100,False
2012-04-29,97,False
2012-05-06,99,False
2012-05-13,95,False
2012-05-20,98,False
2012-05-27,95,False
2012-06-03,98,False
2012-06-10,97,False
2012-06-17,97,False
2012-06-24,93,False
2012-07-01,91,False
2012-07-08,94,False
2012-07-15,93,False
2012-07-22,95,False
2012-07-29,91,False
2012-08-05,88,False
2012-08-12,88,False
2012-08-19,94,False
2012-08-26,89,False
2012-09-02,89,False
2012-09-09,90,False
2012-09-16,90,False
2012-09-23,90,False
2012-09-30,89,False
2012-10-07,84,False
2012-10-14,86,False
2012-10-21,85,False
2012-10-28,79,False
2012-11-04,78,False
2012-11-11,85,False
2012-11-18,72,False
2012-11-25,84,False
2012-12-02,84,False
2012-12-09,81,False
2012-12-16,71,False
2012-12-23,68,False
2012-12-30,78,False
