geoName,uncertain
Alabama,98
Alaska,57
Arizona,40
Arkansas,83
California,67
Colorado,47
Connecticut,54
Delaware,69
District of Columbia,91
Florida,49
Georgia,58
Hawaii,100
Idaho,83
Illinois,51
Indiana,74
Iowa,51
Kansas,46
Kentucky,47
Louisiana,58
Maine,21
Maryland,79
Massachusetts,83
Michigan,51
Minnesota,58
Mississippi,34
Missouri,55
Montana,17
Nebraska,35
Nevada,33
New Hampshire,57
New Jersey,81
New Mexico,85
New York,72
North Carolina,58
North Dakota,0
Ohio,72
Oklahoma,63
Oregon,55
Pennsylvania,61
Rhode Island,70
South Carolina,49
South Dakota,42
Tennessee,63
Texas,84
Utah,58
Vermont,20
Virginia,47
Washington,57
West Virginia,56
Wisconsin,72
Wyoming,0
