geoName,uncomfortable
Alabama,59
Alaska,66
Arizona,69
Arkansas,84
California,74
Colorado,49
Connecticut,87
Delaware,33
District of Columbia,82
Florida,71
Georgia,78
Hawaii,90
Idaho,68
Illinois,70
Indiana,68
Iowa,59
Kansas,49
Kentucky,63
Louisiana,70
Maine,65
Maryland,82
Massachusetts,100
Michigan,58
Minnesota,73
Mississippi,74
Missouri,81
Montana,45
Nebraska,71
Nevada,76
New Hampshire,83
New Jersey,78
New Mexico,47
New York,85
North Carolina,46
North Dakota,27
Ohio,76
Oklahoma,100
Oregon,47
Pennsylvania,88
Rhode Island,93
South Carolina,60
South Dakota,54
Tennessee,72
Texas,68
Utah,58
Vermont,85
Virginia,75
Washington,74
West Virginia,80
Wisconsin,70
Wyoming,22
