geoName,uncooperative
Alabama,0
Alaska,0
Arizona,29
Arkansas,0
California,53
Colorado,52
Connecticut,12
Delaware,0
District of Columbia,49
Florida,47
Georgia,51
Hawaii,0
Idaho,0
Illinois,44
Indiana,51
Iowa,0
Kansas,0
Kentucky,0
Louisiana,51
Maine,0
Maryland,59
Massachusetts,46
Michigan,40
Minnesota,62
Mississippi,0
Missouri,60
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,100
New Mexico,0
New York,45
North Carolina,24
North Dakota,0
Ohio,48
Oklahoma,0
Oregon,42
Pennsylvania,27
Rhode Island,0
South Carolina,59
South Dakota,0
Tennessee,25
Texas,47
Utah,0
Vermont,0
Virginia,34
Washington,11
West Virginia,0
Wisconsin,36
Wyoming,0
