date,uncooperative,isPartial
2013-01-06,55,False
2013-01-13,48,False
2013-01-20,91,False
2013-01-27,41,False
2013-02-03,41,False
2013-02-10,75,False
2013-02-17,34,False
2013-02-24,67,False
2013-03-03,81,False
2013-03-10,88,False
2013-03-17,20,False
2013-03-24,42,False
2013-03-31,55,False
2013-04-07,41,False
2013-04-14,74,False
2013-04-21,62,False
2013-04-28,55,False
2013-05-05,34,False
2013-05-12,71,False
2013-05-19,70,False
2013-05-26,51,False
2013-06-02,42,False
2013-06-09,94,False
2013-06-16,36,False
2013-06-23,65,False
2013-06-30,52,False
2013-07-07,49,False
2013-07-14,69,False
2013-07-21,63,False
2013-07-28,56,False
2013-08-04,85,False
2013-08-11,56,False
2013-08-18,21,False
2013-08-25,34,False
2013-09-01,42,False
2013-09-08,66,False
2013-09-15,40,False
2013-09-22,88,False
2013-09-29,20,False
2013-10-06,75,False
2013-10-13,41,False
2013-10-20,81,False
2013-10-27,81,False
2013-11-03,100,False
2013-11-10,66,False
2013-11-17,72,False
2013-11-24,42,False
2013-12-01,50,False
2013-12-08,39,False
2013-12-15,20,False
2013-12-22,39,False
2013-12-29,49,False
