geoName,uneasy
Alabama,94
Alaska,0
Arizona,61
Arkansas,84
California,57
Colorado,34
Connecticut,90
Delaware,90
District of Columbia,70
Florida,50
Georgia,58
Hawaii,23
Idaho,46
Illinois,49
Indiana,62
Iowa,34
Kansas,57
Kentucky,59
Louisiana,73
Maine,60
Maryland,49
Massachusetts,69
Michigan,53
Minnesota,57
Mississippi,76
Missouri,67
Montana,0
Nebraska,55
Nevada,56
New Hampshire,42
New Jersey,73
New Mexico,100
New York,61
North Carolina,62
North Dakota,0
Ohio,52
Oklahoma,38
Oregon,39
Pennsylvania,81
Rhode Island,32
South Carolina,38
South Dakota,0
Tennessee,62
Texas,61
Utah,45
Vermont,0
Virginia,45
Washington,50
West Virginia,32
Wisconsin,61
Wyoming,0
