geoName,unhappy
Alabama,64
Alaska,37
Arizona,66
Arkansas,54
California,64
Colorado,56
Connecticut,80
Delaware,44
District of Columbia,62
Florida,65
Georgia,64
Hawaii,80
Idaho,79
Illinois,57
Indiana,65
Iowa,50
Kansas,74
Kentucky,88
Louisiana,74
Maine,89
Maryland,69
Massachusetts,72
Michigan,63
Minnesota,70
Mississippi,62
Missouri,50
Montana,84
Nebraska,67
Nevada,66
New Hampshire,57
New Jersey,71
New Mexico,69
New York,81
North Carolina,69
North Dakota,37
Ohio,57
Oklahoma,49
Oregon,85
Pennsylvania,66
Rhode Island,68
South Carolina,86
South Dakota,47
Tennessee,64
Texas,58
Utah,60
Vermont,100
Virginia,71
Washington,66
West Virginia,65
Wisconsin,73
Wyoming,61
