date,unhappy,isPartial
2016-01-03,70,False
2016-01-10,79,False
2016-01-17,70,False
2016-01-24,86,False
2016-01-31,81,False
2016-02-07,86,False
2016-02-14,75,False
2016-02-21,77,False
2016-02-28,80,False
2016-03-06,83,False
2016-03-13,74,False
2016-03-20,72,False
2016-03-27,76,False
2016-04-03,86,False
2016-04-10,87,False
2016-04-17,83,False
2016-04-24,74,False
2016-05-01,76,False
2016-05-08,78,False
2016-05-15,76,False
2016-05-22,79,False
2016-05-29,59,False
2016-06-05,70,False
2016-06-12,62,False
2016-06-19,66,False
2016-06-26,65,False
2016-07-03,66,False
2016-07-10,52,False
2016-07-17,64,False
2016-07-24,57,False
2016-07-31,72,False
2016-08-07,66,False
2016-08-14,54,False
2016-08-21,65,False
2016-08-28,71,False
2016-09-04,66,False
2016-09-11,69,False
2016-09-18,67,False
2016-09-25,74,False
2016-10-02,80,False
2016-10-09,66,False
2016-10-16,68,False
2016-10-23,76,False
2016-10-30,71,False
2016-11-06,68,False
2016-11-13,82,False
2016-11-20,72,False
2016-11-27,100,False
2016-12-04,89,False
2016-12-11,74,False
2016-12-18,63,False
2016-12-25,51,False
