date,unloved,isPartial
2012-01-01,50,False
2012-01-08,42,False
2012-01-15,42,False
2012-01-22,67,False
2012-01-29,62,False
2012-02-05,62,False
2012-02-12,61,False
2012-02-19,77,False
2012-02-26,100,False
2012-03-04,48,False
2012-03-11,73,False
2012-03-18,73,False
2012-03-25,21,False
2012-04-01,85,False
2012-04-08,49,False
2012-04-15,52,False
2012-04-22,46,False
2012-04-29,51,False
2012-05-06,77,False
2012-05-13,47,False
2012-05-20,58,False
2012-05-27,98,False
2012-06-03,37,False
2012-06-10,53,False
2012-06-17,43,False
2012-06-24,26,False
2012-07-01,55,False
2012-07-08,36,False
2012-07-15,31,False
2012-07-22,51,False
2012-07-29,21,False
2012-08-05,61,False
2012-08-12,66,False
2012-08-19,56,False
2012-08-26,61,False
2012-09-02,66,False
2012-09-09,44,False
2012-09-16,20,False
2012-09-23,34,False
2012-09-30,38,False
2012-10-07,14,False
2012-10-14,69,False
2012-10-21,69,False
2012-10-28,71,False
2012-11-04,41,False
2012-11-11,81,False
2012-11-18,59,False
2012-11-25,75,False
2012-12-02,76,False
2012-12-09,40,False
2012-12-16,70,False
2012-12-23,84,False
2012-12-30,67,False
