date,unpredictable,isPartial
2016-01-03,64,False
2016-01-10,81,False
2016-01-17,68,False
2016-01-24,84,False
2016-01-31,76,False
2016-02-07,89,False
2016-02-14,85,False
2016-02-21,86,False
2016-02-28,93,False
2016-03-06,76,False
2016-03-13,81,False
2016-03-20,63,False
2016-03-27,86,False
2016-04-03,76,False
2016-04-10,82,False
2016-04-17,100,False
2016-04-24,77,False
2016-05-01,93,False
2016-05-08,77,False
2016-05-15,57,False
2016-05-22,79,False
2016-05-29,81,False
2016-06-05,59,False
2016-06-12,53,False
2016-06-19,75,False
2016-06-26,62,False
2016-07-03,51,False
2016-07-10,50,False
2016-07-17,51,False
2016-07-24,62,False
2016-07-31,64,False
2016-08-07,41,False
2016-08-14,42,False
2016-08-21,58,False
2016-08-28,63,False
2016-09-04,52,False
2016-09-11,74,False
2016-09-18,93,False
2016-09-25,85,False
2016-10-02,96,False
2016-10-09,81,False
2016-10-16,74,False
2016-10-23,65,False
2016-10-30,78,False
2016-11-06,87,False
2016-11-13,66,False
2016-11-20,83,False
2016-11-27,97,False
2016-12-04,85,False
2016-12-11,90,False
2016-12-18,66,False
2016-12-25,58,False
