date,unsettling,isPartial
2011-01-02,25,False
2011-01-09,18,False
2011-01-16,18,False
2011-01-23,10,False
2011-01-30,10,False
2011-02-06,14,False
2011-02-13,18,False
2011-02-20,11,False
2011-02-27,14,False
2011-03-06,20,False
2011-03-13,18,False
2011-03-20,3,False
2011-03-27,3,False
2011-04-03,27,False
2011-04-10,27,False
2011-04-17,28,False
2011-04-24,17,False
2011-05-01,17,False
2011-05-08,21,False
2011-05-15,17,False
2011-05-22,11,False
2011-05-29,22,False
2011-06-05,7,False
2011-06-12,14,False
2011-06-19,21,False
2011-06-26,28,False
2011-07-03,7,False
2011-07-10,10,False
2011-07-17,24,False
2011-07-24,17,False
2011-07-31,20,False
2011-08-07,26,False
2011-08-14,30,False
2011-08-21,16,False
2011-08-28,10,False
2011-09-04,10,False
2011-09-11,9,False
2011-09-18,19,False
2011-09-25,22,False
2011-10-02,22,False
2011-10-09,24,False
2011-10-16,31,False
2011-10-23,100,False
2011-10-30,71,False
2011-11-06,54,False
2011-11-13,32,False
2011-11-20,13,False
2011-11-27,29,False
2011-12-04,14,False
2011-12-11,14,False
2011-12-18,15,False
2011-12-25,16,False
