geoName,upset
Alabama,76
Alaska,87
Arizona,73
Arkansas,84
California,69
Colorado,74
Connecticut,70
Delaware,82
District of Columbia,72
Florida,72
Georgia,77
Hawaii,77
Idaho,58
Illinois,79
Indiana,82
Iowa,73
Kansas,80
Kentucky,83
Louisiana,74
Maine,71
Maryland,71
Massachusetts,70
Michigan,80
Minnesota,74
Mississippi,88
Missouri,77
Montana,71
Nebraska,77
Nevada,75
New Hampshire,69
New Jersey,79
New Mexico,75
New York,71
North Carolina,84
North Dakota,68
Ohio,77
Oklahoma,100
Oregon,42
Pennsylvania,82
Rhode Island,64
South Carolina,83
South Dakota,82
Tennessee,85
Texas,72
Utah,69
Vermont,63
Virginia,63
Washington,71
West Virginia,87
Wisconsin,70
Wyoming,84
