geoName,vulnerable
Alabama,53
Alaska,100
Arizona,58
Arkansas,61
California,65
Colorado,48
Connecticut,72
Delaware,80
District of Columbia,69
Florida,62
Georgia,64
Hawaii,75
Idaho,71
Illinois,48
Indiana,59
Iowa,61
Kansas,55
Kentucky,46
Louisiana,42
Maine,44
Maryland,61
Massachusetts,61
Michigan,64
Minnesota,80
Mississippi,45
Missouri,50
Montana,41
Nebraska,59
Nevada,70
New Hampshire,58
New Jersey,65
New Mexico,65
New York,59
North Carolina,62
North Dakota,75
Ohio,56
Oklahoma,53
Oregon,44
Pennsylvania,54
Rhode Island,39
South Carolina,55
South Dakota,60
Tennessee,49
Texas,58
Utah,69
Vermont,52
Virginia,62
Washington,59
West Virginia,54
Wisconsin,56
Wyoming,41
