geoName,wailing
Alabama,52
Alaska,41
Arizona,47
Arkansas,98
California,61
Colorado,60
Connecticut,94
Delaware,42
District of Columbia,48
Florida,49
Georgia,59
Hawaii,58
Idaho,100
Illinois,53
Indiana,45
Iowa,45
Kansas,41
Kentucky,50
Louisiana,63
Maine,61
Maryland,58
Massachusetts,60
Michigan,37
Minnesota,62
Mississippi,32
Missouri,43
Montana,81
Nebraska,61
Nevada,49
New Hampshire,48
New Jersey,39
New Mexico,56
New York,47
North Carolina,51
North Dakota,45
Ohio,57
Oklahoma,40
Oregon,55
Pennsylvania,46
Rhode Island,33
South Carolina,42
South Dakota,30
Tennessee,48
Texas,53
Utah,45
Vermont,88
Virginia,42
Washington,50
West Virginia,33
Wisconsin,59
Wyoming,0
