date,wailing,isPartial
2012-01-01,61,False
2012-01-08,70,False
2012-01-15,63,False
2012-01-22,53,False
2012-01-29,71,False
2012-02-05,58,False
2012-02-12,71,False
2012-02-19,63,False
2012-02-26,56,False
2012-03-04,68,False
2012-03-11,64,False
2012-03-18,64,False
2012-03-25,60,False
2012-04-01,93,False
2012-04-08,87,False
2012-04-15,88,False
2012-04-22,66,False
2012-04-29,57,False
2012-05-06,69,False
2012-05-13,53,False
2012-05-20,64,False
2012-05-27,52,False
2012-06-03,54,False
2012-06-10,41,False
2012-06-17,55,False
2012-06-24,49,False
2012-07-01,39,False
2012-07-08,63,False
2012-07-15,61,False
2012-07-22,50,False
2012-07-29,100,False
2012-08-05,65,False
2012-08-12,69,False
2012-08-19,71,False
2012-08-26,62,False
2012-09-02,65,False
2012-09-09,66,False
2012-09-16,74,False
2012-09-23,64,False
2012-09-30,62,False
2012-10-07,86,False
2012-10-14,65,False
2012-10-21,65,False
2012-10-28,71,False
2012-11-04,60,False
2012-11-11,78,False
2012-11-18,70,False
2012-11-25,68,False
2012-12-02,53,False
2012-12-09,65,False
2012-12-16,57,False
2012-12-23,74,False
2012-12-30,45,False
