geoName,warning
Alabama,51
Alaska,86
Arizona,51
Arkansas,59
California,51
Colorado,60
Connecticut,51
Delaware,69
District of Columbia,62
Florida,51
Georgia,52
Hawaii,100
Idaho,58
Illinois,57
Indiana,61
Iowa,53
Kansas,56
Kentucky,56
Louisiana,51
Maine,57
Maryland,59
Massachusetts,58
Michigan,54
Minnesota,56
Mississippi,44
Missouri,58
Montana,57
Nebraska,55
Nevada,54
New Hampshire,61
New Jersey,51
New Mexico,55
New York,47
North Carolina,54
North Dakota,50
Ohio,60
Oklahoma,54
Oregon,40
Pennsylvania,54
Rhode Island,58
South Carolina,53
South Dakota,48
Tennessee,54
Texas,50
Utah,57
Vermont,54
Virginia,56
Washington,53
West Virginia,55
Wisconsin,60
Wyoming,47
