geoName,weak
Alabama,90
Alaska,77
Arizona,86
Arkansas,93
California,86
Colorado,71
Connecticut,81
Delaware,88
District of Columbia,67
Florida,84
Georgia,87
Hawaii,88
Idaho,93
Illinois,82
Indiana,90
Iowa,84
Kansas,85
Kentucky,84
Louisiana,91
Maine,68
Maryland,90
Massachusetts,84
Michigan,88
Minnesota,80
Mississippi,97
Missouri,86
Montana,76
Nebraska,75
Nevada,79
New Hampshire,86
New Jersey,86
New Mexico,91
New York,77
North Carolina,90
North Dakota,97
Ohio,91
Oklahoma,84
Oregon,48
Pennsylvania,87
Rhode Island,95
South Carolina,86
South Dakota,86
Tennessee,92
Texas,84
Utah,77
Vermont,100
Virginia,78
Washington,81
West Virginia,86
Wisconsin,77
Wyoming,78
