date,weak,isPartial
2011-01-02,69,False
2011-01-09,72,False
2011-01-16,79,False
2011-01-23,76,False
2011-01-30,77,False
2011-02-06,77,False
2011-02-13,83,False
2011-02-20,84,False
2011-02-27,85,False
2011-03-06,86,False
2011-03-13,91,False
2011-03-20,95,False
2011-03-27,88,False
2011-04-03,89,False
2011-04-10,96,False
2011-04-17,87,False
2011-04-24,100,False
2011-05-01,93,False
2011-05-08,86,False
2011-05-15,84,False
2011-05-22,78,False
2011-05-29,80,False
2011-06-05,76,False
2011-06-12,74,False
2011-06-19,74,False
2011-06-26,75,False
2011-07-03,75,False
2011-07-10,72,False
2011-07-17,76,False
2011-07-24,77,False
2011-07-31,73,False
2011-08-07,72,False
2011-08-14,72,False
2011-08-21,76,False
2011-08-28,71,False
2011-09-04,74,False
2011-09-11,80,False
2011-09-18,85,False
2011-09-25,81,False
2011-10-02,87,False
2011-10-09,89,False
2011-10-16,88,False
2011-10-23,86,False
2011-10-30,88,False
2011-11-06,84,False
2011-11-13,85,False
2011-11-20,72,False
2011-11-27,86,False
2011-12-04,84,False
2011-12-11,76,False
2011-12-18,70,False
2011-12-25,65,False
