geoName,weepy
Alabama,21
Alaska,0
Arizona,56
Arkansas,77
California,41
Colorado,48
Connecticut,63
Delaware,0
District of Columbia,55
Florida,36
Georgia,30
Hawaii,43
Idaho,0
Illinois,29
Indiana,80
Iowa,47
Kansas,76
Kentucky,19
Louisiana,42
Maine,100
Maryland,29
Massachusetts,54
Michigan,60
Minnesota,69
Mississippi,0
Missouri,35
Montana,0
Nebraska,0
Nevada,27
New Hampshire,0
New Jersey,32
New Mexico,0
New York,48
North Carolina,50
North Dakota,0
Ohio,36
Oklahoma,24
Oregon,54
Pennsylvania,44
Rhode Island,0
South Carolina,37
South Dakota,0
Tennessee,63
Texas,44
Utah,0
Vermont,0
Virginia,41
Washington,56
West Virginia,0
Wisconsin,49
Wyoming,0
