geoName,weight loss
Alabama,100
Alaska,64
Arizona,74
Arkansas,93
California,64
Colorado,71
Connecticut,69
Delaware,68
District of Columbia,71
Florida,72
Georgia,87
Hawaii,60
Idaho,74
Illinois,70
Indiana,71
Iowa,71
Kansas,78
Kentucky,97
Louisiana,86
Maine,66
Maryland,77
Massachusetts,68
Michigan,74
Minnesota,69
Mississippi,95
Missouri,79
Montana,74
Nebraska,82
Nevada,73
New Hampshire,65
New Jersey,70
New Mexico,68
New York,62
North Carolina,81
North Dakota,84
Ohio,77
Oklahoma,89
Oregon,44
Pennsylvania,74
Rhode Island,71
South Carolina,87
South Dakota,76
Tennessee,89
Texas,79
Utah,69
Vermont,56
Virginia,76
Washington,68
West Virginia,91
Wisconsin,71
Wyoming,76
