geoName,withdrawn
Alabama,65
Alaska,32
Arizona,57
Arkansas,57
California,59
Colorado,48
Connecticut,60
Delaware,14
District of Columbia,88
Florida,57
Georgia,46
Hawaii,55
Idaho,51
Illinois,58
Indiana,43
Iowa,81
Kansas,65
Kentucky,55
Louisiana,48
Maine,44
Maryland,73
Massachusetts,63
Michigan,59
Minnesota,61
Mississippi,51
Missouri,69
Montana,43
Nebraska,47
Nevada,55
New Hampshire,56
New Jersey,66
New Mexico,86
New York,60
North Carolina,66
North Dakota,51
Ohio,58
Oklahoma,50
Oregon,30
Pennsylvania,61
Rhode Island,68
South Carolina,49
South Dakota,53
Tennessee,67
Texas,49
Utah,56
Vermont,100
Virginia,43
Washington,41
West Virginia,46
Wisconsin,56
Wyoming,80
