geoName,woeful
Alabama,0
Alaska,0
Arizona,55
Arkansas,0
California,40
Colorado,57
Connecticut,0
Delaware,0
District of Columbia,0
Florida,53
Georgia,20
Hawaii,0
Idaho,0
Illinois,50
Indiana,53
Iowa,0
Kansas,100
Kentucky,38
Louisiana,41
Maine,0
Maryland,19
Massachusetts,71
Michigan,13
Minnesota,34
Mississippi,0
Missouri,23
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,38
New Mexico,0
New York,23
North Carolina,37
North Dakota,0
Ohio,35
Oklahoma,0
Oregon,0
Pennsylvania,67
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,50
Texas,20
Utah,0
Vermont,0
Virginia,95
Washington,55
West Virginia,0
Wisconsin,24
Wyoming,0
