geoName,worry
Alabama,81
Alaska,51
Arizona,66
Arkansas,87
California,68
Colorado,70
Connecticut,73
Delaware,69
District of Columbia,71
Florida,72
Georgia,74
Hawaii,58
Idaho,61
Illinois,68
Indiana,72
Iowa,59
Kansas,80
Kentucky,78
Louisiana,80
Maine,70
Maryland,72
Massachusetts,65
Michigan,71
Minnesota,72
Mississippi,100
Missouri,69
Montana,74
Nebraska,67
Nevada,69
New Hampshire,78
New Jersey,88
New Mexico,77
New York,75
North Carolina,72
North Dakota,69
Ohio,80
Oklahoma,88
Oregon,65
Pennsylvania,77
Rhode Island,68
South Carolina,65
South Dakota,94
Tennessee,76
Texas,71
Utah,68
Vermont,49
Virginia,74
Washington,71
West Virginia,94
Wisconsin,71
Wyoming,52
