date,worry,isPartial
2012-01-01,65,False
2012-01-08,62,False
2012-01-15,65,False
2012-01-22,70,False
2012-01-29,72,False
2012-02-05,73,False
2012-02-12,61,False
2012-02-19,61,False
2012-02-26,63,False
2012-03-04,67,False
2012-03-11,62,False
2012-03-18,66,False
2012-03-25,61,False
2012-04-01,59,False
2012-04-08,61,False
2012-04-15,68,False
2012-04-22,67,False
2012-04-29,62,False
2012-05-06,69,False
2012-05-13,64,False
2012-05-20,75,False
2012-05-27,71,False
2012-06-03,67,False
2012-06-10,67,False
2012-06-17,63,False
2012-06-24,59,False
2012-07-01,61,False
2012-07-08,61,False
2012-07-15,66,False
2012-07-22,64,False
2012-07-29,70,False
2012-08-05,59,False
2012-08-12,69,False
2012-08-19,70,False
2012-08-26,100,False
2012-09-02,80,False
2012-09-09,81,False
2012-09-16,82,False
2012-09-23,83,False
2012-09-30,84,False
2012-10-07,76,False
2012-10-14,70,False
2012-10-21,75,False
2012-10-28,73,False
2012-11-04,80,False
2012-11-11,85,False
2012-11-18,75,False
2012-11-25,75,False
2012-12-02,82,False
2012-12-09,79,False
2012-12-16,82,False
2012-12-23,80,False
2012-12-30,80,False
