geoName,worthless
Alabama,88
Alaska,41
Arizona,46
Arkansas,46
California,39
Colorado,61
Connecticut,32
Delaware,37
District of Columbia,44
Florida,44
Georgia,36
Hawaii,54
Idaho,49
Illinois,39
Indiana,55
Iowa,46
Kansas,60
Kentucky,39
Louisiana,40
Maine,55
Maryland,49
Massachusetts,29
Michigan,51
Minnesota,38
Mississippi,41
Missouri,38
Montana,44
Nebraska,42
Nevada,36
New Hampshire,49
New Jersey,41
New Mexico,79
New York,38
North Carolina,61
North Dakota,77
Ohio,47
Oklahoma,49
Oregon,41
Pennsylvania,45
Rhode Island,33
South Carolina,53
South Dakota,81
Tennessee,49
Texas,40
Utah,45
Vermont,42
Virginia,34
Washington,45
West Virginia,100
Wisconsin,47
Wyoming,0
