geoName,wounded
Alabama,49
Alaska,48
Arizona,42
Arkansas,42
California,29
Colorado,39
Connecticut,39
Delaware,41
District of Columbia,46
Florida,43
Georgia,32
Hawaii,38
Idaho,38
Illinois,32
Indiana,40
Iowa,33
Kansas,33
Kentucky,37
Louisiana,34
Maine,51
Maryland,52
Massachusetts,38
Michigan,36
Minnesota,35
Mississippi,34
Missouri,36
Montana,58
Nebraska,48
Nevada,32
New Hampshire,32
New Jersey,36
New Mexico,44
New York,34
North Carolina,46
North Dakota,45
Ohio,40
Oklahoma,42
Oregon,17
Pennsylvania,46
Rhode Island,47
South Carolina,43
South Dakota,100
Tennessee,41
Texas,39
Utah,36
Vermont,41
Virginia,42
Washington,33
West Virginia,48
Wisconsin,42
Wyoming,43
