geoName,wretched
Alabama,78
Alaska,90
Arizona,47
Arkansas,55
California,56
Colorado,49
Connecticut,74
Delaware,15
District of Columbia,61
Florida,52
Georgia,54
Hawaii,31
Idaho,56
Illinois,55
Indiana,57
Iowa,68
Kansas,91
Kentucky,91
Louisiana,86
Maine,45
Maryland,47
Massachusetts,65
Michigan,56
Minnesota,54
Mississippi,80
Missouri,48
Montana,31
Nebraska,25
Nevada,65
New Hampshire,76
New Jersey,61
New Mexico,50
New York,52
North Carolina,72
North Dakota,76
Ohio,65
Oklahoma,90
Oregon,65
Pennsylvania,60
Rhode Island,67
South Carolina,74
South Dakota,38
Tennessee,74
Texas,54
Utah,90
Vermont,100
Virginia,72
Washington,58
West Virginia,61
Wisconsin,60
Wyoming,31
