geoName,youth
Alabama,76
Alaska,81
Arizona,56
Arkansas,71
California,55
Colorado,71
Connecticut,88
Delaware,57
District of Columbia,70
Florida,48
Georgia,56
Hawaii,56
Idaho,91
Illinois,58
Indiana,71
Iowa,81
Kansas,62
Kentucky,69
Louisiana,61
Maine,64
Maryland,66
Massachusetts,99
Michigan,62
Minnesota,100
Mississippi,71
Missouri,65
Montana,80
Nebraska,76
Nevada,47
New Hampshire,82
New Jersey,55
New Mexico,65
New York,55
North Carolina,58
North Dakota,93
Ohio,70
Oklahoma,78
Oregon,51
Pennsylvania,72
Rhode Island,68
South Carolina,59
South Dakota,88
Tennessee,70
Texas,54
Utah,91
Vermont,77
Virginia,61
Washington,67
West Virginia,72
Wisconsin,82
Wyoming,74
